slm,match,scope,precision,recall,f1,tp,fp,fn,n_pred,n_truth,runtime_sec
g-qwen2.5-7b-instruct,2014_15_LaLiga_FC_Barcelona_vs_Atletico_Madrid,overall,0.14285714285714285,0.3,0.19354838709677416,3,18,7,21,10,104.17
g-qwen2.5-7b-instruct,2014_15_LaLiga_FC_Barcelona_vs_Atletico_Madrid,goal,0.0,0.0,0.0,0,4,4,,,
g-qwen2.5-7b-instruct,2014_15_LaLiga_FC_Barcelona_vs_Atletico_Madrid,penalty,0.16666666666666666,1.0,0.2857142857142857,1,5,0,,,
g-qwen2.5-7b-instruct,2014_15_LaLiga_FC_Barcelona_vs_Atletico_Madrid,card,0.18181818181818182,0.4,0.25000000000000006,2,9,3,,,
g-qwen2.5-7b-instruct,2018WC_Portugal_vs_Spain,overall,0.3,0.6666666666666666,0.41379310344827586,6,14,3,20,9,89.53
g-qwen2.5-7b-instruct,2018WC_Portugal_vs_Spain,goal,0.25,0.5,0.3333333333333333,3,9,3,,,
g-qwen2.5-7b-instruct,2018WC_Portugal_vs_Spain,penalty,0.3333333333333333,1.0,0.5,1,2,0,,,
g-qwen2.5-7b-instruct,2018WC_Portugal_vs_Spain,card,0.0,0.0,0.0,0,3,1,,,
g-qwen2.5-7b-instruct,2018WC_Portugal_vs_Spain,save,0.0,0.0,0.0,0,2,1,,,
g-qwen2.5-7b-instruct,2025_26_LaLiga_Betis_vs_FC_Barcelona_MD15,overall,0.19047619047619047,0.3076923076923077,0.23529411764705882,4,17,9,21,13,146.67
g-qwen2.5-7b-instruct,2025_26_LaLiga_Betis_vs_FC_Barcelona_MD15,goal,0.16666666666666666,0.25,0.2,2,10,6,,,
g-qwen2.5-7b-instruct,2025_26_LaLiga_Betis_vs_FC_Barcelona_MD15,penalty,0.0,0.0,0.0,0,6,2,,,
g-qwen2.5-7b-instruct,2025_26_LaLiga_Betis_vs_FC_Barcelona_MD15,card,0.5,0.3333333333333333,0.4,1,1,2,,,
g-qwen2.5-7b-instruct,2025_26_LaLiga_Betis_vs_FC_Barcelona_MD15,save,0.0,0.0,0.0,0,1,0,,,
